id,category_id,category,city,country,timeslot,popular
1,2,Drink,Shigatse,Chad,Morning,3
2,1,Food,Niamey,Paraguay,Morning,3
3,1,Food,Surabaya,South Georgia and the South Sandwich Islands,RedEyes,4
4,5,Education,Hobart,Togo,RedEyes,3
5,2,Drink,Milan,Qatar,RedEyes,3
6,3,Clothes,Nizhny Novgorod,Niue,Morning,2
7,5,Education,Sabha,Egypt,RedEyes,3
8,3,Clothes,Paris,Guernsey,Morning,2
9,1,Food,Honiara,Japan,RedEyes,4
10,4,Shoes,Minsk,Cambodia,Morning,3
11,2,Drink,Chongqing,Somalia,Morning,3
12,5,Education,Bamako,Western Sahara,Afternoon,3
13,3,Clothes,New Orleans,Turks and Caicos Islands,Afternoon,4
14,4,Shoes,Stepanakert,Kenya,RedEyes,3
15,1,Food,Bogotá,Singapore,Afternoon,4
16,4,Shoes,Boston,Estonia,Morning,1
17,4,Shoes,Dhaka,"Palestinian Territory, Occupied",RedEyes,3
18,4,Shoes,Mata-Utu,Svalbard and Jan Mayen,Afternoon,4
19,1,Food,Tagbilaran,Sweden,Morning,2
20,3,Clothes,Luanda,Panama,RedEyes,2
21,1,Food,Minsk,Hong Kong,Morning,3
22,1,Food,Basse-Terre,Solomon Islands,Morning,2
23,3,Clothes,Odessa,Western Sahara,RedEyes,4
24,3,Clothes,Sitka,"Palestinian Territory, Occupied",Evening,2
25,2,Drink,Monaco,Saint Lucia,Morning,2
26,2,Drink,Riga,Azerbaijan,Evening,2
27,4,Shoes,Omdurman,Bouvet Island,Morning,4
28,4,Shoes,The Valley,Western Sahara,Afternoon,1
29,4,Shoes,Portland,Sudan,Afternoon,1
30,5,Education,Tampere,Faroe Islands,Morning,3
31,4,Shoes,Tampa,Bouvet Island,Afternoon,1
32,1,Food,Bissau,Timor-Leste,RedEyes,2
33,4,Shoes,Christchurch,Libyan Arab Jamahiriya,RedEyes,1
34,5,Education,Portland,Pakistan,Evening,2
35,3,Clothes,Arequipa,Nigeria,Evening,3
36,5,Education,Barcelona,Indonesia,Morning,4
37,3,Clothes,Stockholm,China,Evening,2
38,4,Shoes,Chicago,"Lao People""S Democratic Republic",Morning,2
39,2,Drink,Shenzhen,Mexico,Evening,1
40,3,Clothes,Xining,Botswana,Afternoon,2
41,2,Drink,Luanda,Sierra Leone,Morning,2
42,3,Clothes,Dibrugarh,"Micronesia, Federated States of",RedEyes,3
43,2,Drink,San José,Guatemala,RedEyes,4
44,1,Food,Nantes,Serbia and Montenegro,RedEyes,1
45,3,Clothes,Cape Town,Zambia,Evening,4
46,2,Drink,Rosario,Palau,RedEyes,1
47,5,Education,Bursa,Belgium,Afternoon,4
48,1,Food,Pelotas,Cayman Islands,RedEyes,4
49,3,Clothes,Adamstown,Gambia,Afternoon,1
50,5,Education,Bern,Papua New Guinea,Evening,4
51,4,Shoes,Naples,Monaco,Afternoon,1
52,3,Clothes,Frankfurt,Peru,Evening,1
53,3,Clothes,Kuala Lumpur,Antarctica,RedEyes,1
54,2,Drink,Cape Town,Turkmenistan,Morning,2
55,3,Clothes,Sofia,Zimbabwe,Morning,2
56,2,Drink,Campinas,Saint Pierre and Miquelon,Evening,3
57,1,Food,Hamburg,Czech Republic,Evening,3
58,3,Clothes,Cape Town,Armenia,RedEyes,2
59,4,Shoes,Namangan,India,RedEyes,2
60,5,Education,Yakutsk,Guernsey,Evening,3
